province,city,year,price_yuan_per_sqm,yoy_pct
上海,上海,2010,22311,
上海,上海,2011,22483,0.77
上海,上海,2012,23240,3.37
上海,上海,2013,29738,27.96
上海,上海,2014,30277,1.81
上海,上海,2015,34955,15.45
上海,上海,2016,51724,47.97
上海,上海,2017,49616,-4.08
上海,上海,2018,49050,-1.14
上海,上海,2019,50540,3.04
上海,上海,2020,50486,-0.11
云南,临沧,2019,6898,
云南,临沧,2020,7021,1.78
云南,临沧,2021,7188,2.38
云南,临沧,2022,6959,-3.19
云南,临沧,2023,6706,-3.64
云南,临沧,2024,6532,-2.59
云南,丽江,2015,5059,
云南,丽江,2016,5049,-0.20
云南,丽江,2017,5536,9.65
云南,丽江,2018,7178,29.66
云南,丽江,2019,7477,4.17
云南,丽江,2020,7691,2.86
云南,丽江,2021,8074,4.98
云南,丽江,2022,7411,-8.21
云南,丽江,2023,7797,5.21
云南,丽江,2024,7690,-1.37
云南,保山,2016,5247,
云南,保山,2017,6385,21.69
云南,保山,2018,7048,10.38
云南,保山,2019,8096,14.87
云南,保山,2020,8144,0.59
云南,保山,2021,7204,-11.54
云南,保山,2022,6978,-3.14
云南,保山,2023,6578,-5.73
云南,保山,2024,6548,-0.46
云南,大理,2015,6340,
云南,大理,2016,6483,2.26
云南,大理,2017,9252,42.71
云南,大理,2018,11693,26.38
云南,大理,2019,12921,10.50
云南,大理,2020,12831,-0.70
云南,大理,2021,12221,-4.75
云南,大理,2022,10521,-13.91
云南,大理,2023,9407,-10.59
云南,大理,2024,9237,-1.81
云南,德宏,2019,6838,
云南,德宏,2020,7385,8.00
云南,德宏,2021,6972,-5.59
云南,德宏,2022,6604,-5.28
云南,德宏,2023,6525,-1.20
云南,德宏,2024,6473,-0.80
云南,文山,2016,3739,
云南,文山,2017,4996,33.62
云南,文山,2018,4625,-7.43
云南,文山,2019,5163,11.63
云南,文山,2020,5407,4.73
云南,文山,2021,5702,5.46
云南,文山,2022,5458,-4.28
云南,文山,2023,5261,-3.61
云南,文山,2024,5238,-0.44
云南,昆明,2011,8771,
云南,昆明,2012,8498,-3.11
云南,昆明,2013,8594,1.13
云南,昆明,2014,8029,-6.57
云南,昆明,2015,8136,1.33
云南,昆明,2016,8417,3.45
云南,昆明,2017,9692,15.15
云南,昆明,2018,12199,25.87
云南,昆明,2019,13007,6.62
云南,昆明,2020,13129,0.94
云南,昆明,2021,13328,1.52
云南,昆明,2022,12142,-8.90
云南,昆明,2023,11433,-5.84
云南,昆明,2024,11374,-0.52
云南,昭通,2017,4724,
云南,昭通,2018,5817,23.14
云南,昭通,2019,5980,2.80
云南,昭通,2020,6034,0.90
云南,昭通,2021,5825,-3.46
云南,昭通,2022,5826,0.02
云南,昭通,2023,5408,-7.17
云南,昭通,2024,5364,-0.81
云南,普洱,2015,4560,
云南,普洱,2016,4686,2.76
云南,普洱,2017,4686,0.00
云南,普洱,2018,5846,24.75
云南,普洱,2019,7240,23.85
云南,普洱,2020,7957,9.90
