province,city,year,price_yuan_per_sqm,yoy_pct
云南,临沧,2019,6955,
云南,临沧,2020,7361,5.84
云南,临沧,2021,7308,-0.72
云南,临沧,2022,7016,-4.00
云南,临沧,2023,6761,-3.63
云南,临沧,2024,6585,-2.60
云南,丽江,2015,5100,
云南,丽江,2016,5090,-0.20
云南,丽江,2017,5581,9.65
云南,丽江,2018,7236,29.65
云南,丽江,2019,7539,4.19
云南,丽江,2020,8250,9.43
云南,丽江,2021,7873,-4.57
云南,丽江,2022,7475,-5.06
云南,丽江,2023,7860,5.15
云南,丽江,2024,7750,-1.40
云南,保山,2016,5290,
云南,保山,2017,6437,21.68
云南,保山,2018,7105,10.38
云南,保山,2019,8159,14.83
云南,保山,2020,8259,1.23
云南,保山,2021,7014,-15.07
云南,保山,2022,7029,0.21
云南,保山,2023,6632,-5.65
云南,保山,2024,6594,-0.57
云南,大理,2015,6392,
云南,大理,2016,6536,2.25
云南,大理,2017,9327,42.70
云南,大理,2018,11788,26.39
云南,大理,2019,13022,10.47
云南,大理,2020,12695,-2.51
云南,大理,2021,12046,-5.11
云南,大理,2022,10601,-12.00
云南,大理,2023,9483,-10.55
云南,大理,2024,9312,-1.80
云南,德宏,2019,6902,
云南,德宏,2020,7616,10.34
云南,德宏,2021,6965,-8.55
云南,德宏,2022,6628,-4.84
云南,德宏,2023,6578,-0.75
云南,德宏,2024,6529,-0.74
云南,文山,2016,3770,
云南,文山,2017,5037,33.61
云南,文山,2018,4663,-7.43
云南,文山,2019,5205,11.62
云南,文山,2020,5699,9.49
云南,文山,2021,5682,-0.30
云南,文山,2022,5492,-3.34
云南,文山,2023,5304,-3.42
云南,文山,2024,5282,-0.41
云南,昆明,2015,8202,
云南,昆明,2016,8485,3.45
云南,昆明,2017,9771,15.16
云南,昆明,2018,12298,25.86
云南,昆明,2019,13117,6.66
云南,昆明,2020,13494,2.87
云南,昆明,2021,13208,-2.12
云南,昆明,2022,12241,-7.32
云南,昆明,2023,11526,-5.84
云南,昆明,2024,11463,-0.55
云南,昭通,2017,4763,
云南,昭通,2018,5864,23.12
云南,昭通,2019,6028,2.80
云南,昭通,2020,5984,-0.73
云南,昭通,2021,5833,-2.52
云南,昭通,2022,5884,0.87
云南,昭通,2023,5452,-7.34
云南,昭通,2024,5407,-0.83
云南,普洱,2015,4597,
云南,普洱,2016,4724,2.76
云南,普洱,2017,4724,0.00
云南,普洱,2018,5894,24.77
云南,普洱,2019,7300,23.85
云南,普洱,2020,8072,10.58
云南,普洱,2021,7876,-2.43
云南,普洱,2022,7786,-1.14
云南,普洱,2023,7240,-7.01
云南,普洱,2024,7189,-0.70
云南,曲靖,2015,3776,
云南,曲靖,2016,3848,1.91
云南,曲靖,2017,3991,3.72
云南,曲靖,2018,4710,18.02
云南,曲靖,2019,5302,12.57
云南,曲靖,2020,5944,12.11
云南,曲靖,2021,5988,0.74
云南,曲靖,2022,5953,-0.58
云南,曲靖,2023,5695,-4.33
云南,曲靖,2024,5706,0.19
云南,楚雄,2015,4277,
云南,楚雄,2016,4386,2.55
云南,楚雄,2017,4536,3.42
云南,楚雄,2018,4754,4.81
云南,楚雄,2019,5270,10.85
云南,楚雄,2020,5733,8.79
云南,楚雄,2021,5477,-4.47
云南,楚雄,2022,5254,-4.07
云南,楚雄,2023,5035,-4.17
云南,楚雄,2024,4968,-1.33
云南,玉溪,2015,7142,
云南,玉溪,2016,6428,-10.00
云南,玉溪,2017,6645,3.38
云南,玉溪,2018,7504,12.93
云南,玉溪,2019,7627,1.64
云南,玉溪,2020,7855,2.99
云南,玉溪,2021,7688,-2.13
云南,玉溪,2022,7441,-3.21
云南,玉溪,2023,6256,-15.93
云南,玉溪,2024,6159,-1.55
云南,红河,2015,4028,
云南,红河,2016,3965,-1.56
云南,红河,2017,4044,1.99
云南,红河,2018,4273,5.66
云南,红河,2019,5392,26.19
云南,红河,2020,5808,7.72
云南,红河,2021,5617,-3.29
云南,红河,2022,5375,-4.31
云南,红河,2023,5081,-5.47
云南,红河,2024,5018,-1.24
云南,西双版纳,2016,4941,
云南,西双版纳,2017,8430,70.61
云南,西双版纳,2018,11282,33.83
云南,西双版纳,2019,8427,-25.31
云南,西双版纳,2020,7641,-9.33
云南,西双版纳,2021,7491,-1.96
云南,西双版纳,2022,7683,2.56
云南,西双版纳,2023,7209,-6.17
云南,西双版纳,2024,7217,0.11
云南,迪庆,2019,4965,
云南,迪庆,2020,4965,0.00
云南,迪庆,2021,4933,-0.64
云南,迪庆,2022,4933,0.00
云南,迪庆,2023,5192,5.25
云南,迪庆,2024,5192,0.00
内蒙古,乌兰察布,2018,5402,
内蒙古,乌兰察布,2019,5042,-6.66
内蒙古,乌兰察布,2020,4926,-2.30
内蒙古,乌兰察布,2021,4845,-1.64
内蒙古,乌兰察布,2022,4940,1.96
内蒙古,乌兰察布,2023,4321,-12.53
内蒙古,乌兰察布,2024,4513,4.44
内蒙古,乌海,2016,4038,
内蒙古,乌海,2017,4422,9.51
内蒙古,乌海,2018,4933,11.56
内蒙古,乌海,2019,4943,0.20
内蒙古,乌海,2020,5276,6.74
内蒙古,乌海,2021,5391,2.18
内蒙古,乌海,2022,5342,-0.91
内蒙古,乌海,2023,5908,10.60
内蒙古,乌海,2024,5916,0.14
内蒙古,兴安盟,2017,4482,
内蒙古,兴安盟,2018,5017,11.94
内蒙古,兴安盟,2019,5558,10.78
内蒙古,兴安盟,2020,5603,0.81
内蒙古,兴安盟,2021,5564,-0.70
内蒙古,兴安盟,2022,5633,1.24
内蒙古,兴安盟,2023,5716,1.47
内蒙古,兴安盟,2024,5750,0.59
内蒙古,包头,2015,5714,
内蒙古,包头,2016,5861,2.57
内蒙古,包头,2017,6579,12.25
内蒙古,包头,2018,7382,12.21
内蒙古,包头,2019,7990,8.24
内蒙古,包头,2020,8147,1.96
内蒙古,包头,2021,7915,-2.85
内蒙古,包头,2022,7622,-3.70
内蒙古,包头,2023,7484,-1.81
内蒙古,包头,2024,7417,-0.90
内蒙古,呼伦贝尔,2016,4590,
内蒙古,呼伦贝尔,2017,3763,-18.02
内蒙古,呼伦贝尔,2018,3894,3.48
内蒙古,呼伦贝尔,2019,4364,12.07
内蒙古,呼伦贝尔,2020,4685,7.36
内蒙古,呼伦贝尔,2021,4853,3.59
内蒙古,呼伦贝尔,2022,4714,-2.86
内蒙古,呼伦贝尔,2023,4902,3.99
内蒙古,呼伦贝尔,2024,4937,0.71
内蒙古,呼和浩特,2015,5462,
内蒙古,呼和浩特,2016,6651,21.77
内蒙古,呼和浩特,2017,7957,19.64
内蒙古,呼和浩特,2018,10551,32.60
内蒙古,呼和浩特,2019,11375,7.81
内蒙古,呼和浩特,2020,11683,2.71
内蒙古,呼和浩特,2021,10723,-8.22
内蒙古,呼和浩特,2022,10343,-3.54
内蒙古,呼和浩特,2023,9420,-8.92
内蒙古,呼和浩特,2024,9241,-1.90
内蒙古,巴彦淖尔市,2015,5050,
内蒙古,巴彦淖尔市,2016,5333,5.60
内蒙古,巴彦淖尔市,2017,5317,-0.30
内蒙古,巴彦淖尔市,2018,5745,8.05
内蒙古,巴彦淖尔市,2019,5489,-4.46
内蒙古,巴彦淖尔市,2020,5604,2.10
内蒙古,巴彦淖尔市,2021,5486,-2.11
内蒙古,巴彦淖尔市,2022,5434,-0.95
内蒙古,巴彦淖尔市,2023,5453,0.35
内蒙古,巴彦淖尔市,2024,5502,0.90
内蒙古,海拉尔,2018,4831,
内蒙古,海拉尔,2019,4640,-3.95
